title,text,label
menpora dukung pianis cilik kendal pecahkan rekor dunia inggris,menpora imam nahrawi kamis 16 2 siang kemarin menerima pianis cilik jefri setiawan pemecahan rekor dunia bermain piano mata tertutup inggris menpora bangga dukung sepenuhnya jefri mengharumkan nama indonesia pentas dunia menpora jumpa pers loby kantor kemenpora jakarta jefri audiensi menpora harapannya menteri pemuda olahraga memfasilitasi pertemuannya presiden joko widodo mendukungnya jelang keberangkatan inggris menanggapi menpora berjanji bersurat presiden joko widodo memenuhi jefri memfasilitasi transportasi akomodasi jefri acara anak anak muda berprestasi kreativitas kemampuannya dorong sepenuhnya berprestasi dukungan pemerintah swastalah prestasi terdengar gaungnya masyarakat imam menpora pesannya jefri kemampuan dimiliki jefri dikembangkan potensi budaya indonesia indonesia memiliki seni tari musik lukis mencari inovasi bermusik memadukan seni budaya dimiliki hadirkan potensi keunikan dimunculkan membantu promosi pariwisata indonesia gencar pemerintah kesempatan memecahkan rekor dunia mata tertutup diperoleh jefri berkat catatan rekor ditorehkannya museum rekor dunia indonesia memainkan keyboard bernyanyi mata tertutup usianya menginjak 10 record holders republic uk bermarkas inggris memainkan 50 lagu mata tertutup sjam tanggal 19 april 2017 jefri duduk bangku kelas v sd ananda universal patebon satunya anak sd indonesia diundang tampil malaysia tampil singapura jepang bermain keyboard bernyanyi mata tertutup penampilan penampilan jefri kerap memadukan permainan pianonya seni tari jaipong ulin usik debus seni lukis tari umbul tattoo body painting monolog pertunjukan teater atraksi ular atraksi jaja stone membatik ayah jefry setiawan joko manis mensupport mendukung langkah anaknya mengharumkan kendal indonesia kancah dunia internasional bidang musik seusianya orangtua mendukung apapun jefry kerap mendampingi main daerah indonesia malaysia timor lleste joko manis,Budaya
warnai kurikulum merdeka kearifan lokal,pemerintah kota payakumbuh kurikulum muatan lokal republika co id payakumbuh kurikulum merdeka salah opsi kurikulum diberlakukan pemerintah 1 kurikulum 2013 2 kurikulum 2013 disederhanakan darurat 3 kurikulum merdeka ketiga kurikulum diberlakukan tindakan pemulihan pembelajaran mengatasi ketertinggalan belajar learning loss sifat fleksibelitas kontekstual berpusat layanan peserta didik pembelajaran mendalam bermakna fokus materi esensial tumpuan pelaksanaan kurikulum merdeka daya tarik tersendiri satuan pendidikan pemerintah daerah terbukti antusiasme peserta hadir acara seminar nasional strategi implementasi kurikulum merdeka aula ngalau indah kantor walikota payakumbuh sumatera barat jumat 29 4 kegiatan dibuka walikota diwakili asisten i bidang pemerintahan kesra dafrul pasi menekankan tenaga profesional bidang pendidikan pengawas kepala sekolah guru jajaran dinas pendidikan senantiasa memperbaharui wawasan pola pikir penguasaan ilmu pengetahuan terkait kurikulum takut perubahan hidup perubahan dafrul pasi rilis diterima republika co id ahad 1 5 sejalan zulfikri anas plt kepala pusat kurikulum pembelajaran badan standar kurikulum asesmen pendidikan kemendikbud narasumber menekankan falsafah adat minangkabau perubahan sakali aie gadang tapian berubah bermakna perubahan tepian mandi berubah kali turun naiknya permukaan air sungai zulfikri menambabkan sejalan ungkapan filsuf yunani kuno herakleitus sungai kali air temui air dikaitkan pendidikan anak temui anak jam anak anak mencintai belajar merasakan manfaat belajar sesungguhnya senantiasa tantangan sesuai kebutuhan karakteristik dunia dinamis seyogyanya kurikulum berganti kali anak berganti ganti anak ganti kurikulum hakikat kehidupan anak dinamis zulfikri anas kurikulum merdeka dirancang berbasis kompetensi fokus utamanya penguatan karakter mengembangkan kemampuan peserta didik holistik mencakup kecakapan akademis non akademis kompetensi kognitif sosial emosional spiritual samping kurikulum merdeka dirancang fleksibel kontekstual berakar budaya misi sekolah lingkungan kebutuhan murid zulfikri zulfikri sekolah memiliki wewenang mengembangkan mengelola kurikulum pembelajaran sesuai karakteristik satuan pendidikan peserta didik relevan interaktif layanan individu siswa pembelajaran sesuai kemampuan teaching at the right level pembelajaran kegiatan projek terintegrasi pembelajaran intra kurikuler kesempatan luas peserta didik aktif menantang menyenangkan mengeksplorasi isu isu aktual isu lingkungan kesehatan mendukung pengembangan karakter kompetensi profil pelajar pancasila zulfikri anas plt kepala pusat kurikulum pembelajaran badan standar kurikulum asesmen pendidikan narasumber seminar nasional strategi implementasi kurikulum merdeka satuan pendidikan aula ngalau indah kantor walikota payakumbuh jumat 29 4 foto dok pemerintah kota payakukumbuh dasril kepala dinas pendidikan optimistis payakumbuh percontohan pengelolaan kurikulum merdeka diperkuat kearifan lokal pembelajaran efektif proses pembelajaran terlepas akar budaya lingkungan kondisi sosial ekonomi masyarakat sejalan falsafah minangkabau alam terkembang guru dasril menindaklanjuti program pemerintah ruang seluas luasnya satuan pendidikan meningkatkan kualitas proses pembelajaran kontekstual fleksibel pemerintah kota payakumbuh mendukung satuan pendidikan paud sd smp kesetaraan menerapkan kurikulum merdeka ajaran samping kurikulum muatan lokal diajukan kemendikbud masuk dapodik warna khas kurikulum merdeka berharap inspirasi daerah dasril,Budaya
dukung pengrajin batik tanah air bri hadirkan link umkm grebeg batik indonesia,jakarta suaramerdeka jakarta com komitmen pt bank rakyat indonesia persero tbk bri memajukan umkm peran nyata terbaru bri berpartisipasi event grebeg batik indonesia pameran karya otentik seni batik indonesia perajin pengusaha seni batik daerah tanah air pameran diinisiasi asosiasi pengrajin pengusaha batik indonesia appbi diselenggarakan 20 24 april 2022 atrium mall grand city surabaya 70 peserta umkm batik asesoris didukung asosiasi perajin batik jawa timur apbj beserta anggotanya baca perjumpaan tuhan puisi event bri menampilkan link umkm platform dikembangkan perseroan persembahan masyarakat luas pelaku umkm direktur bisnis mikro bri supari rangkaian pemberdayaan terpadu link umkm tools pemberdayaan pengembangan pelaku umkm link umkm kebutuhan pelaku umkm terkait akses informasi pasar platform mencakup peningkatan kemampuan administrasi manajemen usaha supari baca bukber tokoh lintas agama ketua kkj perbedaan keniscayaan jadikan perekat persatuan pelatihan berisi layanan pelatihan konsultasi literasi keuangan simulasi kredit anggota pelatihan dijalani dinilai berdasarkan aplikasi skoring,Budaya
workshop membatik galeria mal yogyakarta,pelajar mengikuti workshop membatik pameran seni lokal kain seloka galeria mal yogyakarta kamis 12 5 2022 workshop membatik pusat perbelanjaan budaya batik masyarakat khalayak ramai menarik pengunjung mal mengunjungi stand pameran kain kain karya umkm yogyakarta workshop membatik pameran seni lokal kain seloka galeria mal republika co id yogyakarta pelajar mengikuti workshop membatik pameran seni lokal kain seloka galeria mal yogyakarta kamis 12 5 2022 workshop membatik pusat perbelanjaan budaya batik masyarakat khalayak ramai menarik pengunjung mal mengunjungi stand pameran kain kain karya umkm yogyakarta,Budaya
dukung perajin batik tanah air bri hadirkan link umkm grebeg batik indonesia,jakarta suaramerdeka solo com pt bank rakyat indonesia persero tbk bri berkomitmen memajukan umkm peran nyata terbaru bri berpartisipasi event grebeg batik indonesia pameran karya otentik seni batik indonesia perajin pengusaha seni batik daerah tanah air pameran diinisiasi asosiasi pengrajin pengusaha batik indonesia appbi diselenggarakan 20 24 april 2022 atrium mall grand city surabaya baca h 10 lebaran 37 133 kendaraan gerbang tol cileunyi 70 peserta umkm batik asesoris didukung asosiasi perajin batik jawa timur apbj beserta anggotanya event bri menampilkan link umkm platform dikembangkan perseroan persembahan masyarakat luas pelaku umkm direktur bisnis mikro bri supari rangkaian pemberdayaan terpadu link umkm tools pemberdayaan pengembangan pelaku umkm baca dirjen kebudayaan tinggal daerah cagar budaya sembarangan membangun link umkm kebutuhan pelaku umkm terkait akses informasi pasar platform mencakup peningkatan kemampuan administrasi manajemen usaha pelaku usaha memiliki kesempatan pelatihan berkualitas supari pelatihan berisi layanan pelatihan konsultasi literasi keuangan simulasi kredit anggota pelatihan dijalani dinilai berdasarkan aplikasi skoring,Budaya
budayawan gpdrr momentum kampanye mitigasi berbasis kearifan lokal,budayawan provinsi sulawesi iksam djorimi global platform for disaster risk reduction gpdrr momentum kampanye mitigasi berbasis kearifan lokal upaya pengurangan risiko bencana tanah air upaya mengadopsi mitigasi berbasis kearifan lokal pemerintah sepenuhnya tingkat pusat daerah terlaksana iksam palu kamis baca gpdrr diharapkan dorong pendidikan kebencanaan indonesia sudut pandang budaya keadatan contoh mitigasi warga sesuai kebiasaan turun temurun salah konsep mitigasi berbasis lokal gampiri lumbung pangan desa daerah kekuasaan kerajaan kerajaan wilayah sulteng mendirikan gampiri lumbung pangan bertujuan mengantisipasi krisis pangan halnya berlangsungnya pandemi diseluruh belahan dunia baca guru pengurangan risiko bencana kearifan lokal lumbung pangan tersisa daerah wisata adat kabupaten sigi lumbung fungsinya pemerintah menerapkan kebijakan pemberlakuan pembatasan kegiatan masyarakat ppkm stok pangan memenuhi kebutuhan sehari iksam mengemukakan salah pesan mitigasi kalangan masyarakat larangan turun rumah gempa bumi mitigasi berbasis kearifan lokal poin turun temurun sandaran mengatur kehidupan bermasyarakat menjaga hubungan manusia pencipta hubungan manusia alam baca pakar kearifan lokal penanggulangan bencana dimodifikasi salah alasan rumah tetua tempo rumah panggung dinilai aman konstruksi rumah rumah kayu iksam mitigasi berbasis kearifan lokal poin turun temurun sandaran mengatur kehidupan bermasyarakat menjaga hubungan manusia pencipta hubungan manusia alam makna pesan filosofis manusia memperbaiki menjaga keimanannya pencipta manusia mengelola lingkungan hidup bijak arif merusak iksam palu,Budaya
disperindag mendorong peningkatan ovop kearifan lokal sulut,manado dinas perindustrian perdagangan disperindag mendorong peningkatan one village one product ovop desa produk provinsi sulawesi utara sulut 2022 mengidentifikasi produk industri menengah ikm masuk penilaian ovop kadisperindag sulut edwin kindangen manado selasa edwin berharap produk diangkat pengembangan kearifan lokal daerah ovop mencapai target ink ditingkatkan mencari produk unggulan ikm sulut berharap ikm mendaftarkan produk mempermudah identifikasi produk terlewati produk ikm sulut teridentifikasi butuh peran pelaku usaha syarat produk produk makanan minuman ringan sirup sari buah gerabah kain tenun batik daerah kerajinan anyaman edwin produk ovop produk memiliki ciri khas daerah unik memiliki potensi pasar berkesinambungan ikm produk masuk program ovop kemudahan sisi pembinaan pendampingan bantuan dana peralatan pemerintah,Budaya
antropolog tuddukat kearifan lokal mentawai bertahan,padang antropolog universitas andalas unand padang dr maskota delfi menilai tuddukat kearifan lokal warga kabupaten kepulauan mentawai bertahan penyampai kabar gembira duka tuddukat dipukul menghasilkan bunyi penyampai berita gembira berita sedih masyarakat mentawai padang jumat menerangkan berita gembira tuddukat dibunyikan hasil buruan uba pemberitahuan anggota uma rumah tradisional suku mentawai bunyinya cepat bernada gembira penyampai berita kesedihan kematian tuddukat dipukul pelan kabar duka tuddukat dipukul berhati hati salah penyampaian penerimaan mengemukakan berita gembira hewan buruan tuddukat filosofis semangat berbagi daging anggota uma rumah tradisional mentawai prestasi orang terampil ahli berburu kabar sedih pemahaman orang mentawai mendadak menimbulkan kekagetan bunyi tuddukat dipandang mengurangi sedih kaget meninggal sisi penggunaan tuddukat efektif penyampai pesan masyarakat mentawai alami butuh listrik sinyal seluler daya jangkaunya terdengar menilai tuddukat berpeluang penyampai pesan bencana alam catatan kreativitas bunyi dipahami tuddukat media penyampai informasi warga mentawai menyerupai kentongan ukurannya meter diameter 60 centimeter tuudukat dipahat kayu kulim dikenal keras liat rongga menciptakan nada khas seperangkat tuddukat gelondong kayu kulim bentuknya ukurannya berbeda letakan dibariskan sejajar loteng beranda uma tuddukat ina ukuran sileleite toga tuddukat nada tersendiri mengeluarkan bunyi vokal i u menengah bunyi e o vokal a menyerupai kerja kode morse memainkan tuddukat dipukul kayu berbentuk bulat tetek teteu aikub sakalio kepala suku sakalio desa muntei kecamatan siberut selatan tuddukat dibunyikan sembarangan orang kepala suku berhak memukulnya uma tuddukat tradisi budaya mentawai,Budaya
intip 7 bandara arsitektur terunik indonesia,jakarta kompas com bandara indonesia bangunan bertembok berdiri tanah luas bandara tanah air memiliki desain arsitektur terbilang unik menggambarkan kearifan lokal wilayahnya langkah apik patut diapresiasi pasalnya bandara pintu gerbang pelaku perjalanan domestik internasional baca 10 bandara tersibuk dunia 2021 dipadati 463 juta penumpang salah strategi mengenalkan keindahan kearifan lokal beserta keberagaman budaya indonesia masyarakat luas mengutip informasi unggahan akun instagram resmi ditjen perhubungan udara kemenhub bandara indonesia memiliki arsitektur unik menggambarkan kearifan lokal daerahnya instagram bandara buntu kunik kabupaten tana toraja sulawesi selatan bandara buntu kunik kabupaten tana toraja sulawesi selatan bandara terletak kabupaten tana toraja sulawesi selatan wilayah 3tp didesain bernuansa kearifan lokal rumah adat tana toraja tongkonan instagram bandara sultan m kaharuddin kabupaten sumbawa nusa tenggara barat bandara sultan m kaharuddin kabupaten sumbawa nusa tenggara barat bandara desain heksagonal kabupaten sumbawa nusa tenggara barat baca 7 bandara indonesia terbaik asia pasifik versi asq awards 2021 bentuknya menyerupai sarang lebah menggambarkan sumbawa terkenal penghasil madu,Budaya
pasar petak sembilan ikon jakbar direvitalisasi,pemkot jakarta barat jakbar berencana merevitalisasi pasar petak sembilan glodok jakarta barat jakbar penataan diyakini mengangkat kearifan lokal kawasan pasar petak sembilan jual beli destinasi wisata suasana khas beragam kuliner ditawarkan pasar petak sembilan salah ikon jakbar camat taman sari agus sulaeman rencana revitalisasi disepakati pedagang tergabung paguyuban pedagang pasar petak sembilan penataan pasar mengangkat kearifan lokal kawasan pecinan kesepakatan pedagang mengangkat kearifan lokal ikon ikon pecinan petak enam gang gloria petak sembilan rencana direvitalisasi ditata agus dihubungi senin 16 5 2022 agus tahap diskusi mendalam terkait pedagang kaki pkl kawasan prinsipnya revitalisasi kawasan rapi tertata aktivitas pedagang pembeli berjalan aman nyaman konsepnya prinsip penataan dilaporkan wali masukan pkl agus revitalisasi pasar petak sembilan menunjang kawasan pecinan taman sari ditetapkan desa wisata terbaik ri rencananya program memakai dana csr apbd lihat anggaran nih percepatan kolaborator csr cair csr gampang dukungan suasana perayaan imlek wihara dharma bhakti,Budaya
